comments,labels
arjun reddy fans  hit like,not-malayalam
Arjun reddy and kgf bgm mixed,not-malayalam
Mohanlal=manju Manju=mohanlal  #manju kanji kodukendi verumo??  Lalletta aduttha filmilengilum nadiye mattane plzzz.. Illengil kanji orappa!,Offensive_Targeted_Insult_Individual
Sarkar teaser likes VS odiyan trailer views,not-malayalam
When you relies movie in Telugu,not-malayalam
Roshan chettooyyy eth Kayamkulam Kochunni pole aavumo... Script strong Alle... Ticket adukkallo lle,Not_offensive
Pullu Giri Fans adi oru kiddilan Like,Not_offensive
Superb NivinPakka make over  Best till today,not-malayalam
Aatttttt 1.04  mohanlal sir  Wating from NTR fan,not-malayalam
ലാലേട്ടൻ ഫാൻസ്‌ ലൈക് ബട്ടൺ ഒറ്റ സംഘ്യ ആക്കി വക്കുക മമ്മുക്ക ഫാൻസ്‌ ലൈക് ബട്ടൺ ഇരട്ട സംഘ്യ ആക്കുക,Not_offensive
From tamilnadu love u mohanlal sir,not-malayalam
Pan Indian aakkikkoode content undengil pinne nokkanda Padam njangal ingu edutholam,Not_offensive
Dislike adichavar ettavum valiya oolakal...... bldy idiots...,Offensive_Untargetede
ഈ ട്രെയിലറിൽ മഞ്ജു ചേച്ചിയുടെ അഭിനയം വളരെ ക്യൂരിയോസിറ്റി ഉണ്ടാക്കുന്നു.... ഈ ഫിലിമിൽ പ്രവർത്തിച്ച എല്ലാവർക്കും പ്രത്യേകിച്ച് മഞ്ജു ചേച്ചിക്ക് എൻറെ എല്ലാവിധ ആശംസകളും....,Not_offensive
WAITING FOR RAJU ETTAN AND LALETTAN CONBO,not-malayalam
صدق او لاتصدق مشاهد لاول مره تعرض من رحلتي الاخيره,not-malayalam
ട്രെയിലറിൽ ഉള്ള ഒറ്റ സീൻ പോലും സിനിമയിൽ ഇല്ല,Not_offensive
1:29 usa ok india no,not-malayalam
ഏത് ട്രൈലറും ടീസറും വന്നാലും കുറ്റം കണ്ടുപിടിക്കുന്നവർ ഇതുവഴി വരാതെ കണ്ടം വഴി ഓടേണ്ടതാണ് ഇത് കുറച്ച് കൂടിയ ഐറ്റം ആണ് മമ്മൂക്ക,Not_offensive
100K LIKES WITHIN 2 HOURS  GAME CHANGER MOVIE OF MOLLYWOOD,not-malayalam
E x mas...... Driving license kazjinjal.. next pooram,Not_offensive
I'm waiting for the kunjali marikkar,not-malayalam
Superb trailer  I enjoy it,not-malayalam
Rocking star yash fans Karnataka trailer is superb movie  is BLOCKBUSTER,not-malayalam
Nala movie aayirunu..ottum flexible alaatha lalettann edhin onum patilaa..meesha pirii role thanaal ok,Offensive_Targeted_Insult_Individual
Pazaya nadanmmar kure per undallo,Not_offensive
0:40 indian flag ulta hai,not-malayalam
Enthayalum Nov 21 nu thanne kananam,Not_offensive
I'm wishing long Young Life to mammokka,not-malayalam
ഈ മുഖഭാഫം  കണ്ട്  ആരും അത്ഭുധപെടേണ്ട . സന്തോഷ്  പണ്ഡിറ്റ്  നേക്കാളും  കിടുവ,Offensive_Targeted_Insult_Individual
Pala padathilum kanda scenugal kooti kuzhucha padam athine kidu mass ennoke parayaan kure andam kammi fansugalum,Offensive_Targeted_Insult_Group
MAnju variyar ullathu kondu oru pedi pottumop,Offensive_Targeted_Insult_Individual
ഐ ആം ഫ്രം കാനഡ,Not_offensive
I am Thala Ajith Fan,not-malayalam
Pazhassi raja pole oru mega hit aavatte,Not_offensive
Bahut hi acha trailer hai dil jeet liya,not-malayalam
ലാലേട്ടന്റെ ഈ മരണ മാസ്സ് പടത്തിന് കാത്തിരിക്കുന്നു,Not_offensive
Petta dialogue kopy adichit kallanu oru nanavm illa,Offensive_Targeted_Insult_Individual
Innu thanne ithu etramathe vattama e trailer repeat adichu kanunnennu eniku thanne ariyilla...kidiloskki,Not_offensive
25 k dislike ivaneokke endu manushyarada? Nalladine nalladenn angikarikk,Offensive_Untargetede
Ith nice aakum..  sure aanu,Not_offensive
4.3k dislikes what a bullshit man's,not-malayalam
Just 68 years young man mammukka,not-malayalam
Ikka polichu athum e prayathil love u ikka,Not_offensive
Ijjadi mass sadanam ഇക്ക നിങ്ങ poliyaan inippo kurupottichond കൊറേ mairanmar വരും,Offensive_Untargetede
Njan matramanoo trailer il prithviraj ne kandanthu. . . .  Kandavar like adiche..,Not_offensive
Polichu ikka suppar u r great,not-malayalam
Madhuramilatha raja ettadi mari ith item vereya LUCIFER,Not_offensive
Dislik അടിച്ച daashukal priya faans ആണെന്ന് തോന്നുന്നു,Offensive_Targeted_Insult_Group
jai mechanical ... coco cola Pepsi mechanical sexy,Not_offensive
Adhu ennavo namma Tamizh rasigalukku MAMMOOTTY SIR mattum pidichu pogudhu,not-malayalam
all d best from jr ntr fans,not-malayalam
Usa ok india no.  fahad ikaaa,Not_offensive
You use bots for likes and views,not-malayalam
Ith raja aaa kallykkan vanna eduth uduth kalayum,Not_offensive
Ee shareeramulla manushyanevech ee padam cheydh kulamakarudh plees,Offensive_Targeted_Insult_Individual
എന്റെ ഏട്ടൻ my big brother സ്വന്തം ഡയലോഗായി തോന്നിയ എത്ര ഏട്ടൻ ഫാൻസുണ്ടിവിടെ,Not_offensive
SUPER POWER PACKED ACTION FILLED TRAILER......,not-malayalam
Trailer kaanikan udheshichavar padam full kaanichu ithilude...best,Not_offensive
Kunjali marakkar dialogue presentation is so accurate.,not-malayalam
DQ ഫാൻസിന്റെ എല്ലാവിധ ആശംസകളും നേരുന്നു പടം സൂപ്പർഹിറ്റ് ആകട്ടെ,Not_offensive
Swondham appane kandal adikunnavanmara ithinoke dislike adikunne. Adichondu avide irikathe ullu. Ivide ettanm pillerum stronga dbl strong,Offensive_Untargetede
Padam kanda shesham trailer kandathukondu oru aaswasam.,Not_offensive
Well done YouTube,not-malayalam
എന്താ ട്രൈലെർ അടിപൊളി 🤘 കട്ട വെയ്റ്റിംഗ് ആണ്  വിനീതേട്ടൻ മുത്താണ്,Not_offensive
Proud to be a vypinkkari....,not-malayalam
ബാന്റ് സെറ്റുകാർ ഊതുമല്ലോ ഇതിലും നന്നായിട്ട്  കോപ്പി ചേട്ടൻ എന്തൊന്നിത് ചെയ്ത് വചേക്കുന്നത് BGM,Offensive_Targeted_Insult_Individual
ഈ വൃത്തികെട്ടവൻ തന്നെയാണോ ബിഗ്‌ബിയിൽ bgm ചെയ്തത് ...അവിശ്വസനീയം ....എന്ത് വെറുപ്പിക്കലാണ് ....വേറെ നല്ല ആൺപിള്ളേർക്കു കൊടുത്തിരുന്നേൽ പടം കസറിയെനേം...@ഗോപി....എന്റെ പൊന്നണ്ണാ ..നമിച്ചു ...,Offensive_Targeted_Insult_Individual
Mammottykku  mathram oru Nalla padavum illa,Not_offensive
1:23 PREDATOR movie BGM copycat !!! deepak dev anna,not-malayalam
കഷ്ടം.. അരോചകമായ dialog delivery. ഇതൊക്കെ തന്നെയാണ് പ്രതീക്ഷിച്ചത്.,Not_offensive
3 Million views #Lalettan #Lucifer,not-malayalam
Super movie.. undayum illa oru andiyum illa,Not_offensive
Mamooka we love u so much..,not-malayalam
ADOBE AFTER EFFECTS Free Templates കൊണ്ട് teaser ഉണ്ടാക്കി നശിപ്പിച്ചു,Not_offensive
മവനെ കൊല ഗാണ്ടിൽ ഇറുക്കെ  കൊല്ലാമാ വിടമാട്ടെ,not-malayalam
suspense vende enallale Oru gumm ullu enna aa dilaog um aayi Oru sadrishyam,Not_offensive
Iam tamilnadu kerala peoples also good,not-malayalam
Love you mohan lal sir from tamilnadu,not-malayalam
Edakida  etra million ayi enna nokan varunavar onnu like,Not_offensive
NIVIN PAULY FANS HIT LIKE HERE🤗LETS SEE,not-malayalam
Kidu movie but teaseril movieyuda kidilam scenes ellam unde,Not_offensive
Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre,Offensive_Targeted_Insult_Individual
Amazing movie !! I saw it.,not-malayalam
Meraa ghar west bungal i love mammookka,not-malayalam
Trailer view 10 M aakan wait cheyuunvr like chyu..,Not_offensive
apdi illa chumma dhaan ketten..irundhalum unga mozhi patru enaku pudichuruku bro,not-malayalam
Lalettan fans from Tamilnadu like here,not-malayalam
Raja Sollarthan Seivan,not-malayalam
0:39 Kola gaandla.iruka kollama vidamaten.. Wow ..Rajini sir Petta movie dialogue reference..,Not_offensive
Nowadays 944k views is considered as 1M views in kerala,not-malayalam
Trailer waiting katta waiting like adi......... Mammookka fans hit like,Not_offensive
Best luck for mammuka from a Lalettan fan,not-malayalam
.     No caption required,not-malayalam
HISTORY OF POWER HISTORY OF VENGEANCE HISTORY OF PAIN HISTORY OF HOPE HISTORY OF AN ERA HISTORY OF THE BRAVE,not-malayalam
woow mammopokka ! proud of you mollywoods king ikkaa...........!,not-malayalam
Vineeth-ine ini ella cinemayilum villainmarude dubbing voice aakkumo?? Durantham thanne cinemakkare...,Not_offensive
King manavalan fans like here #manavalan,not-malayalam
ജോജു ചേട്ടൻ പൊളിയാ   അല്ലെ മക്കളേ,Not_offensive
Mein chaaku teri gaand mei gusaduga Just,not-malayalam
Mammookka  enna  oru  etha,Not_offensive
Hope to see a pakka mass entertainer,not-malayalam
കുമ്പളങ്ങി നൈറ്റ്സ്  മികച്ചൊരു റി യലിസ്റ്റിക് സിനിമയാവുമെന്ന് പ്രതീക്ഷിക്കുന്നു.,Not_offensive
He s looking v.diferently.. I dont even feel like I'm seeing lal sir ..,not-malayalam
Mammokkaaa katta waiting for this movie,not-malayalam
entay ponnoo kola kolli item vannu makkaleay,Not_offensive
Dialogue presentation valare mosham padam moonjaali markkaar akumo,Offensive_Untargetede
Prithviraj poster kanditu pull evdelum kannan undonu thirakan vannavare porateeey...,Not_offensive
Malayalam = Prithviraj Tamil =  Vijay Telugu = Mahesh Babu Hindi = Shah Rukh Khan Who is the best superstar ???,not-malayalam
Heavy items loading . Ufff Mamookkaaasss,not-malayalam
Raavile views ethrayayi ennu nokan vannavar evide come on.,Not_offensive
From tamilnadu love u mohanlal sir,not-malayalam
entry istam like for lusifer lalettan,not-malayalam
Ipo allarkkum manasilayille lalunni charitra padam cheytal ingane undakum enn this is odiyan 2,Not_offensive
Happy  Birthday  Mammookka,not-malayalam
kidu  katta waiting    mamamookkaaaa,Not_offensive
Ithu dislike adicha pookavadi makkalodu onne parayan ullu,Offensive_Untargetede
Trailer വീണ്ടും വീണ്ടും,Not_offensive
Rapistukallkk theertha theerathe cinemem kanjaavennum paranj thalliya payyanu velakkum.. aaaaha anthass,Offensive_Untargetede
ഇൗ മനുഷ്യൻ വിസ്മയിപ്പിക്കുന്നു അന്നും ഇന്നും ഇനി എന്നും..2019 പോലെ തന്നെ 2020 ഇക്ക ഇങ്ങ് എടുക്കുവ..,Not_offensive
35 yers  old   ikkaisam,not-malayalam
ഇട്ടിമാണി ... മാസ്സ് ആണ് മനസുമാണ്‌...,Not_offensive
503k for  madura raja  teaser,not-malayalam
I like suraj acting ...he is jem..,not-malayalam
കുമ്പളങ്ങിക്ക് ശേഷം ഇതാ വീണ്ടുമൊരു നല്ല അടിപൊളി  മൂവി.... നമ്മടെ ചെക്കനുള്ളത് കൊണ്ട് കൊറച്ചൊക്കെ പ്രദീക്ഷ  വെച്ച്  തന്നെയാ ടിക്കറ്റ്  എടുത്തത്.... നോക്കുമ്പോ വിചാരിച്ചതിനെക്കാളും നന്നായിട്ടുണ്ട്..... +2 ലൈഫിലോട്ടും,Not_offensive
Uff _    Murali Gopi,Offensive_Targeted_Insult_Individual
Trailer kidukki  By a lalettan fan,Not_offensive
Kurre  Ekka Duranthangla Unlike Thudangitt indalla,Offensive_Targeted_Insult_Group
Entea ammooo nivin chetta chumma powliichhee,Not_offensive
ഒന്നും എവിടെയും എത്തുന്നില്ല ഒറ്റക്കണ്ണൻ (ദർശൻ )ഓരോന്ന് ഉണ്ടാക്കും,Offensive_Targeted_Insult_Individual
രണ്ടു പ്രാവശ്യം മൂവി കണ്ടിട്ട്... ട്രൈലർ കാണാൻ വന്ന ഞാൻ...,Not_offensive
0:38 Hi,not-malayalam
മമ്മൂക്ക ഒരിക്കലും സിനിമ യിൽ അഭിനയിക്കുകയല്ല ജീവിക്കുകയാണ്,Offensive_Targeted_Insult_Individual
ജോഷി സാറിന്റെ എൻതോരം Mass  പടങ്ങൾ നീയൊക്കെ കണ്ടതാ.... ഈയൊടുക്കത്ത Massഉം കൂടി കാണ്...... Joshiy Sir.... MassKaBaap.... പെരുത്തിഷ്ട്ടോർന്ന്.... ഇങ്ങളെ..... 🤩,Not_offensive
.     No caption required,not-malayalam
Ingerk ethra vayas aa nna paranje????,Not_offensive
Luv u laletta ....katta fans undo..prithviraj fans hit like,not-malayalam
നിങ്ങളുടെ പ്രിയ താരങ്ങളുടെ വിശേഷങ്ങളും മറ്റ് സിനിമാ വിശേഷങ്ങളും അറിയാൻ ഈ ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യൂ..,Not_offensive
Degrade cheyyunna narikale ningalku asuya Undo ulladukondavum dislike Pedichoo kurippeleee,Offensive_Untargetede
Dislike adichavark trailer ishtapedanjitto അതോ lalettaneyo. എതായാലും ninnodokke പുച്ഛം മാത്രം. Its ettans swag,Not_offensive
DQ ന്റെ കമന്റ്‌ pin ചെയ്യടാ ജാട തെണ്ടി,Offensive_Untargetede
rajuetan fans ivde lyk adich thakark,Not_offensive
ee padam 8 nilayil podannamennju prarthikunnju,Offensive_Targeted_Insult_Group
Bgm disappointed... Eee gopi sunder nu enthu patty,Not_offensive
Pakka Antichrist dejjal team movie  Illuminati member lal & raj  Lal ne sradicho keralam avarude kaikalil povathirikkan,Offensive_Targeted_Insult_Individual
Pauly Chaettayiii u r gonnaa roockkk,not-malayalam
Poli trailerrr  Padam kanaan mood canhu,Not_offensive
Delipettan Manasvekkathe ninte oru padam polum vijayikkilla,Offensive_Targeted_Insult_Individual
കാത്തിരുന്ന നാടൻ പാട്ട് എത്തിട്ടോ.. പൊളിയാണ്..,Not_offensive
Dislike alla lappantta makkalum anta nadu veral നമസ്കാരം,Offensive_Targeted_Insult_Individual
Hufff bgm.ikkka mass pakka masss,Not_offensive
Eeee paheyente sthaneth..Mohanlal annn 70am vayesill Eee padem cheythirinnenkill....edukam..pallikatilekh. Lal ettane..allenkil dehippikam..,Offensive_Targeted_Insult_Individual
കുഞ്ഞാലി മരക്കാരെ പറയിപ്പിക്കാൻ ഓരോ 'ബാസ'. ഇത്തരം charactors രൂപത്തിലും ഭാവത്തിലും ശബ്ദത്തിലും അതിനോട് മാന്യത പുലർത്തണം ...ഉസ്മാനെ,Not_offensive
Asuran fans hit like nu yaarum podalaya..?,not-malayalam
Jobi jorge padam ano. Potti mone,Offensive_Targeted_Insult_Individual
ജോഷി സാർ തിരിച്ചെത്തി ഇനി നമ്മുടെ ഡെന്നീസ് ജോസഫ് ന്റെ ശക്തമായ തിരിച്ചു വരവിനായ് കാത്തിരിക്കുന്നവർ ഇവിടെ കമോൺ,Not_offensive
Mammuka entry 1:55  Thank me later,not-malayalam
3 Million views #Lalettan #Lucifer,not-malayalam
ഇത് ഏത് കോമഡി പടം ആണ്.....നല്ലോണം ചിരിക്കാനുണ്ട്,Not_offensive
Dislike ചെയ്ത എല്ലാ മമ്മുണ്ണി നിക്കർ പാൻസിനും എന്റെ നടുവിരൽ നമസ്കാരം,Offensive_Targeted_Insult_Group
Kidilan trailer vere level,Not_offensive
SHOOTING LOCATION :  PAYYANUR SUBRAMANI SWAMI TEMPLE,not-malayalam
192K views,not-malayalam
താങ്ക്സ് ഓഫ്  ഹിന്ദുസ്ഥാൻ എന്ന പടമാണിത് (  വിഷ്വൽസ് ),Not_offensive
Lal atten fans from tamil nadu,not-malayalam
Releasinte aan thanne pokum ennu   Urappullavar adi like,Not_offensive
Mohanlal sir masss..... I am tamilnadu fan,not-malayalam
Oru janathayude nayakan megastar ammmukka in&as hollywood level movie,Not_offensive
Yes we need more movies like this in Mollywood. 🤘🤘🤘,not-malayalam
T H E  C O M P L E T E  A C T O R,not-malayalam
Sharukh Khan movie fan nte oru chuvaa,Not_offensive
Amazing movie !! I saw it.,not-malayalam
Nine film arkum venda,Not_offensive
16 Keep views and 23 k likes... How is it possible?,not-malayalam
0:48 nammude Pubg SLR nu vendi oru like ADI🤗🤗,Not_offensive
50 k likes in 40 minutes,not-malayalam
Traliler ishtapetta ettan fans undel ivide like..,Not_offensive
Pakka poli Nigal entha manasilakiknath keraliyar k buthiyillalae thani thedrit pakka fillm Thani poli film,not-malayalam
ഈ പാട്ടിനു എങ്ങനെ ഡിസ്‌ലൈക്ക് അടിക്കാൻ തോന്നി?? ആ സ്റ്റേജിൽ ഉള്ളവരിൽ ഏറ്റവം നന്നായി കളിച്ചതു ലാലേട്ടൻ ആണെന്ന് ആർക്കൊകെ തോന്നി,Not_offensive
Yendha ee Pallayappan parayunnath. we padam pottum. suvaranu,Offensive_Targeted_Insult_Individual
Padam kandavar ivide kayari comment adike,Not_offensive
Thank u for subtitles for fans like me,not-malayalam
Trailer cutting kidu... Editorkk oru kuthira pavan...,Not_offensive
eee mammunnikk 10 million onnum ethikkaanulla traniyilla,Offensive_Targeted_Insult_Individual
THIS DEAL IS WITH AN DEVIL,not-malayalam
Tech & entertainment videos കാണാൻ pls subscribe VeeTalks,Not_offensive
ANY TAMILNADU NIVIN FANS ?? :D :D,not-malayalam
Superb Movie. Love u Mohan Lap,not-malayalam
29k dislike. Who is that .... fooooooolZzzzzzzzzzzzz,not-malayalam
Ikkka   ika.....  WaitiN mamanGam,not-malayalam
Today 6 pm ...bigil ... Anna katta waiting.. Podra vediyaa..... Thalapathy na masss ......,not-malayalam
Woooow.....  from Sri Lanka,not-malayalam
Chila undertaker toon aduku manakunondu  sradhichu kakanaam,Not_offensive
SIR... PLEASE DUBBED FOR #TAMIL TRAILER FOR EXTRAORDINARY ......,not-malayalam
Visit nature foods travel for variety videos,not-malayalam
ഞാൻ ട്രോൾ കണ്ടു വന്നതാ,Not_offensive
192k views and 192k likes,not-malayalam
ഈ  ടീം  അടിപൊളി,Not_offensive
UnniMukundan and Mamookka fans Like here,not-malayalam
Prithvi  Lalettan  Bgm ?? any idea guyzz ?,not-malayalam
interesting name; ശ്രീ പിണറായി വിജയൻ ജപ്പാനിൽ വന്നിരുന്നു ; കാണണ്ടേ ???,Not_offensive
Dis like adikkan kure myranmar vannolum,Offensive_Untargetede
I love u mammutty or mohanalal,not-malayalam
Entta ponnu laletta.... Parayan vakkukal illa  Mass ka bapp,Not_offensive
sala lucifar matalb kya hai jante hu oska matlab saitan,not-malayalam
Film kandittu trailer kandath arokeya ?,Not_offensive
Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...,Offensive_Untargetede
Chetta Done... Deal... Wait... Trailer kollam ... massss,Not_offensive
ചാക്കോച്ച പൊളിക്ക് മുത്തെ നമ്മൾ മലയാളികൾ എന്നും കൂടെ ഉണ്ട്,Not_offensive
All  The Best from unni mukudan fans,not-malayalam
DON MAX  PREVIOUS WORK ---- LUCIFER MAMANGAM,not-malayalam
Ithinu dis like adichavarude manasika nila thettiyirikkuva.. Trailer kidilan Oru rekshayum illa,Not_offensive
Urumi   scene repeat  mode    on,not-malayalam
Charithra cinema cheyyan annum innum mammukkaye vellan oruthanum illa. Kidiloski trailer.,Not_offensive
Yenthina aa manjvine ithilekku valichirakkiyathu aval undayathukondu padam kananulla aa thrill poyi,Offensive_Targeted_Insult_Individual
CAA ക്ക് എതിരെ ഒരു വാക്ക് പോലും സംസാരിക്കാത്ത സംഘി പുത്രൻ...,Offensive_Targeted_Insult_Individual
മലയാളത്തിന്റെ അഭിമാനമായി മാറുന്ന ഒരു ഗംഭീര ത്രില്ലർ സിനിമ ആവട്ടെ! വളരെ പ്രതീക്ഷ തരുന്ന ട്രൈലർ,Not_offensive
ASURAN MANJUWARRION FANS HIT LIKE,not-malayalam
Qurbanak shesham semitheriyil poyi marichavark vendi prathichatinu sheshan 2kg pothu medich veetipookumthanala nazranikarude oru line.Kallaki laleetta all the  best.,Not_offensive
Katta Waiting... Suriya n Lalettan fan from Ernakulam,not-malayalam
Cast\r Mammootty \r Unni Mukundan \r Prachi Tehlan \r Siddique \r Achuthan\r Anusitara\r Iniya\r Kaniha\r Tarun Arora\r Suresh krishna \r Manikuttan\r Sudev nair\r Manikandan,Not_offensive
Mamooka we love u so much..,not-malayalam
Kerala Achayan fans hit like,Not_offensive
All Kerala. Mohanlal fans like meee,not-malayalam
Lucifer Mass kuranja strogillatha trailor.madhuraraja teaser tripple strong mass.mohanlal mass look 100/100.mammoottymass look 100/100.lucifer trailorinekkal kidilan madhuraraja teaser.,Not_offensive
After 20 hr  3M viwe,not-malayalam
Padathinte peru sheriyalla yenth unda oru veraity vende perinu.,Not_offensive
O M G heavy mamookkaa,not-malayalam
ALL THE  BEST LALETTAN & TEAM.........,not-malayalam
ഏട്ടൻ ഫാൻസിന് ഒത്ത് കൂടാനുള്ള സ്ഥലം ഇൗ ഓണം ഇട്ടിച്ചൻ കൊണ്ട് പോയി മക്കളെ,Not_offensive
BIG M'S ARE SETTING FIRE ON YOUTUBE,not-malayalam
summa athruthilla mammokka...  tamil fan....  ungale romba pudikkum,not-malayalam
Im from us army i like mammukka action,not-malayalam
1:01 raju ettan as zyed masood,Not_offensive
Teaser ഇറങ്ങുന്നതിനു മുൻപേ dislike അടിച്ച എല്ലാ മഹാന്മാർക്കും എന്റെ നടുവിരൽ നമസ്കാരം,Offensive_Untargetede
Ith  5 million aaavunn ullappullavar adi ivide like,Not_offensive
Hukoo for rajinikanth sir hukku hu hu for mohanlal sir,not-malayalam
Enta ponno eppolu ntha oru ethu,Not_offensive
mammootty aa name mattum pothum !,not-malayalam
Adutha 100 kodi  avum enn urappullavar like adi,Not_offensive
Love you mohan lal sir from tamilnadu,not-malayalam
Mohanlal stunning look with kgf bgm,not-malayalam
മമ്മുട്ടി മോഹൻലാൽ ഫാൻസ് എന്നു പറഞ്ഞു നടക്കുന്നവർ തന്നെയാണ് മലയാളം ഇൻഡസ്ട്രി തന്നെ ഇല്ലാതാക്കുന്നത് എത്ര നല്ല പടമാണെങ്കിലും ഡി ഗ്രേഡ് ചെയ്യാൻ ഫാൻസ് എന്ന് പറഞ്ഞു നടക്കുന്നവരുണ്ട് അതു കൊണ്ട് മലയാളം സിനിമ എവിടെയും എത്താത്തത് ഈ വീഡിയോ ഇട്ടിട്ട് 10 മിനുറ്റ് ആയില്ല അപ്പോഴേക്കും ഡിസ്‌ലൈക്ക് അടി കണ്ടില്ലേ ഇവരൊക്കെയാണ് മലയാള സിനിമക്ക് ശാപം,Not_offensive
Die hard  Mohanlal Sir Fan,not-malayalam
Enthaayalum haters nu rosham theerkkan oru dislike button indayath nannayi..keedangal,Not_offensive
yeah kollam surya tvil verunna serial polea und..,Offensive_Targeted_Insult_Group
സിദ്ദിക്കേ    ഇതും   സ്വൊ ഹ......,Not_offensive
Kuru pottikaan muyuman nadan fansukar ethiyittund,Offensive_Targeted_Insult_Group
Cinema kandathinu shesham trailer kanunna arelum ondo,Not_offensive
face Of Indian cinema Mega  Mammokka,not-malayalam
0:24 Maamangam..ormavaruunnu ...aaa intro & dance.....Ponne..0:40 rajni fans kaananda..,Not_offensive
What a film yar....,not-malayalam
ithpole oru kidu trailerinu dislike adikkana myrroli mammoonni fansin naduviral namaskaaram(ella mamooty fansinem udheshichalla....chila choriyanmaare udheshich paranjatha),Offensive_Targeted_Insult_Group
Looks like plot of srks fan ....,not-malayalam
ഇവൻ എന്താണ് ഈ പറയുന്നത് ചിരിച്ചു ചിരിച്ചു പണ്ടാരം അടങ്ങി  🤣🤣,Not_offensive
Is it Aadai (tamil film) remake?,not-malayalam
Edhu kondu prethiraj neruthiyal Kollam,Not_offensive
അയ്യോ ഇത് എന്ത് ദുരന്തം ട്രയ്ലർ ആണ് ഇതിലും betham സന്തോഷ് പണ്ഡിറ്റിന്റെ രാധയുടെ ട്രയ്ലർ ആണ്Oh ഞാൻ പറന്നു ലാലുണ്ണി അല്ലെ അപ്പോൾ ഇതൊക്കെ പ്രധീഷിക്കണ്ട ഉള്ളൂ,Offensive_Targeted_Insult_Individual
1.7M VIEWS 177K LIKES  TRIPLE STRONGG,not-malayalam
Kanan kollam Pakshe kids ne pattu.. Katayillata kata,Not_offensive
Itinum dislike adikkan aalundallo...nallatine angeegarikkan padikk... duranthangal...,Offensive_Untargetede
പടം കണ്ടു. No words ഒരു രക്ഷയും ഇല്ല ഗിരീഷ് AD തകർത്തു  WAITING FOR YOUR NEXT MOVIE CAMERA pollichutta Cast എല്ലാരും തകർത്തു... കുറച്ചു നാളുകൾക്കു ശേഷം കണ്ട ഒരു മനോഹരമായ ചിത്രം 100% noustalgic entertainer,Not_offensive
Madhura raja trailer or lucifer trailer.... 🤗🤗,not-malayalam
Ee thavanathe onam pooramakkan  itty maani varunu,Not_offensive
Very good movie-making skills in your language.. keep up the good work,not-malayalam
Our #Mammootty #BOLLYWOOD Fans Like kardho yaar,not-malayalam
Hollywood movies addict ayya njan eppan malayalam movie addict ayyi  because malayalam movies nu international standard vannu thudagii,Not_offensive
ട്രയ്ലർ കണ്ട് മൂഞ്ചിയ ഗുഹൻ ഫാൻസിന് ലൈക്ക് അടിക്കാനുള്ള സ്ഥലം,Offensive_Targeted_Insult_Group
Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane,Offensive_Untargetede
Ethinu unlike adicha haters movie release akumbooo kandam vazi odan rediyayikkkooooooo....ettan fan....,Not_offensive
Erangana mumb 285 dislike ejjayi mayrol,Offensive_Untargetede
അലൻസിയർ ഉള്ളത് കൊണ്ട് പടം കാണുന്നില്ല,Offensive_Targeted_Insult_Individual
Raja returnssss makkale....ithu marana mass padamaayirikkum,Not_offensive
Very good movie-making skills in your language.. keep up the good work,not-malayalam
ഇജ്ജാതി ഗതികേട് 2 ദിവസം മുന്പേ പ്രീമിയർ ഇറക്കുന്നു,Not_offensive
summa athruthilla mammokka...  tamil fan....  ungale romba pudikkum,not-malayalam
Ithu verum oru sample trailer,Not_offensive
enthu oola trailer aanu ithu. poor dialogue delivery,Offensive_Untargetede
മുംബൈ ധാരവിയെ വിറപ്പിക്കാൻ അവൻ വരുന്നു മൂത്തോൻ,Not_offensive
Dq fans like  Nivin fans comment,not-malayalam
ജയിക്കാൻ നീ നോക്ക്  തോല്കാതിരിക്കാൻ ഞാനും നോക്കാം. മരണം എപ്പോ വേണമെങ്കിലും കടന്നുവരാം. പക്ഷേ മരിക്കുന്നതു വരെ ചെകുത്താൻ.. ചെകുത്താൻ തന്നെ ആയിരിക്കും.  Hell is empty... All the devils are here    #Megastar   #Shylock  First look    Bboss  #Shylock... Loading,Not_offensive
Mammoonji Fans vannu Dislike Adichu Views koottunnund... Ivanmaarkku buddhi theere ille,Offensive_Targeted_Insult_Group
Trailer Editing പോര.. ഒരു നല്ല സിനിമ ആകട്ടെ..,Not_offensive
ഞമ്മന്റെ ആൾക്കാർ കിടന്നു ഉമ്പുന്നുണ്ടലോ...ഇതേതോ കുന്നം കുളം video ആണ്...മമ്മൂക്കയുടെ mamengam എന്ന ബോർ ട്രയ്ലർ ആണ്.🤧🤧,Offensive_Untargetede
Onnu vegam dec 14 ayya mathiyayirinnu,Not_offensive
Dislike adichvnmar oombi kuthi irikathe ulluh,Offensive_Untargetede
Love from karnataka,not-malayalam
മാമാങ്കത്തിന് ഉണ്ടായ ഷീണം ഒക്കെ ഷൈലോക്ക് വന്ന് പൊളിച്ചടുക്കും എന്ന് ഉറപ്പുള്ളവർ ലൈക്,Not_offensive
100k like in just 35 minutes,not-malayalam
Fdfs ente ettan laalettante pilaaru ondedaa laalettan uyir,Not_offensive
